"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2025","660.00","656.00","656.00","656.00","","-1.49%"
"02/01/2025","670.00","721.00","721.00","721.00","","1.21%"
"01/01/2025","662.00","602.00","602.00","602.00","","5.92%"
"12/01/2024","625.00","620.00","620.00","620.00","","-5.73%"
"11/01/2024","663.00","524.00","524.00","524.00","","26.77%"
"10/01/2024","523.00","537.00","580.00","491.00","","-5.60%"
"09/01/2024","554.00","592.00","644.00","554.00","","-9.77%"
"08/01/2024","614.00","760.00","760.00","599.00","","-21.08%"
"07/01/2024","778.00","833.00","849.00","778.00","","-6.71%"
"06/01/2024","834.00","988.00","988.00","988.00","","-18.48%"
"05/01/2024","1,023.00","926.00","926.00","926.00","","10.48%"
"04/01/2024","926.00","1,054.00","1,054.00","1,054.00","","-13.62%"
"03/01/2024","1,072.00","986.00","986.00","986.00","","5.72%"
"02/01/2024","1,014.00","1,181.00","1,181.00","1,181.00","","-16.06%"
"01/01/2024","1,208.00","925.00","925.00","925.00","","25.83%"
"12/01/2023","960.00","833.00","833.00","833.00","","15.11%"
"11/01/2023","834.00","779.00","779.00","779.00","","6.92%"
"10/01/2023","780.00","811.00","811.00","811.00","","-4.06%"
"09/01/2023","813.00","837.00","837.00","837.00","","-4.01%"
"08/01/2023","847.00","713.00","713.00","713.00","","20.31%"
"07/01/2023","704.00","635.00","635.00","635.00","","13.55%"
"06/01/2023","620.00","676.00","676.00","676.00","","-8.01%"
"05/01/2023","674.00","763.00","763.00","763.00","","-10.37%"
"04/01/2023","752.00","1,215.00","1,215.00","1,215.00","","-39.74%"
"03/01/2023","1,248.00","816.00","816.00","816.00","","47.34%"
"02/01/2023","847.00","634.00","634.00","634.00","","31.73%"
"01/01/2023","643.00","1,205.00","1,205.00","1,205.00","","-69.88%"
"12/01/2022","2,135.00","1,806.00","1,806.00","1,806.00","","17.57%"
"11/01/2022","1,816.00","1,195.00","1,195.00","1,195.00","","49.71%"
"10/01/2022","1,213.00","1,148.00","1,148.00","1,148.00","","4.39%"
