"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2025","881.00","881.00","881.00","881.00","","-0.45%"
"02/01/2025","885.00","881.00","881.00","881.00","","1.03%"
"01/01/2025","876.00","853.00","853.00","853.00","","-5.50%"
"12/01/2024","927.00","890.00","890.00","890.00","","3.92%"
"11/01/2024","892.00","957.00","957.00","957.00","","-7.66%"
"10/01/2024","966.00","867.00","1,060.00","867.00","","11.94%"
"09/01/2024","863.00","872.00","897.00","860.00","","-2.04%"
"08/01/2024","881.00","960.00","960.00","881.00","","-9.36%"
"07/01/2024","972.00","1,142.00","1,142.00","972.00","","-15.48%"
"06/01/2024","1,150.00","1,237.00","1,237.00","1,237.00","","-7.33%"
"05/01/2024","1,241.00","1,117.00","1,117.00","1,117.00","","10.51%"
"04/01/2024","1,123.00","1,129.00","1,129.00","1,129.00","","-1.23%"
"03/01/2024","1,137.00","1,142.00","1,142.00","1,142.00","","-0.70%"
"02/01/2024","1,145.00","1,295.00","1,295.00","1,295.00","","-12.33%"
"01/01/2024","1,306.00","1,258.00","1,258.00","1,258.00","","8.83%"
"12/01/2023","1,200.00","1,172.00","1,172.00","1,172.00","","1.35%"
"11/01/2023","1,184.00","1,487.00","1,487.00","1,487.00","","-20.16%"
"10/01/2023","1,483.00","839.00","839.00","839.00","","79.32%"
"09/01/2023","827.00","740.00","740.00","740.00","","9.97%"
"08/01/2023","752.00","840.00","840.00","840.00","","-11.63%"
"07/01/2023","851.00","1,003.00","1,003.00","1,003.00","","-16.07%"
"06/01/2023","1,014.00","1,091.00","1,091.00","1,091.00","","-8.24%"
"05/01/2023","1,105.00","1,033.00","1,033.00","1,033.00","","5.64%"
"04/01/2023","1,046.00","1,363.00","1,363.00","1,363.00","","-26.75%"
"03/01/2023","1,428.00","1,455.00","1,455.00","1,455.00","","0.99%"
"02/01/2023","1,414.00","1,260.00","1,260.00","1,260.00","","10.90%"
"01/01/2023","1,275.00","1,465.00","1,465.00","1,465.00","","-31.93%"
"12/01/2022","1,873.00","2,260.00","2,260.00","2,260.00","","-20.40%"
"11/01/2022","2,353.00","1,811.00","1,811.00","1,811.00","","28.79%"
"10/01/2022","1,827.00","1,476.00","1,476.00","1,476.00","","23.70%"
"09/01/2022","1,477.00","1,504.00","1,504.00","1,504.00","","-2.31%"
"08/01/2022","1,512.00","1,474.00","1,474.00","1,474.00","","3.14%"
"07/01/2022","1,466.00","1,224.00","1,224.00","1,224.00","","18.80%"
"06/01/2022","1,234.00","1,104.00","1,104.00","1,104.00","","10.28%"
"05/01/2022","1,119.00","1,160.00","1,160.00","1,160.00","","-10.69%"
"04/01/2022","1,253.00","1,321.00","1,321.00","1,321.00","","-2.03%"
"03/01/2022","1,279.00","1,449.00","1,449.00","1,449.00","","-4.77%"
"02/01/2022","1,343.00","685.00","685.00","685.00","","94.92%"
"01/01/2022","689.00","722.00","722.00","722.00","","-12.34%"
"12/01/2021","786.00","720.00","720.00","720.00","","9.02%"
"11/01/2021","721.00","794.00","794.00","794.00","","-9.54%"
"10/01/2021","797.00","630.00","630.00","630.00","","27.32%"
"09/01/2021","626.00","611.00","611.00","611.00","","2.62%"
"08/01/2021","610.00","610.00","610.00","610.00","","0.99%"
"07/01/2021","604.00","604.00","604.00","604.00","","1.00%"
"06/01/2021","598.00","598.00","598.00","598.00","","-0.99%"
"05/01/2021","604.00","604.00","604.00","604.00","","-0.33%"
"04/01/2021","606.00","606.00","606.00","606.00","","-14.65%"
"03/01/2021","710.00","710.00","710.00","710.00","","6.13%"
"02/01/2021","669.00","669.00","669.00","669.00","","29.40%"
"01/01/2021","517.00","517.00","517.00","517.00","","10.94%"
"12/01/2020","466.00","466.00","466.00","466.00","","1.75%"
"11/01/2020","458.00","458.00","458.00","458.00","","11.44%"
"10/01/2020","411.00","411.00","411.00","411.00","","-5.52%"
"09/01/2020","435.00","435.00","435.00","435.00","","-8.23%"
"08/01/2020","474.00","474.00","474.00","474.00","","-6.32%"
"07/01/2020","506.00","506.00","506.00","506.00","","9.52%"
"06/01/2020","462.00","462.00","462.00","462.00","","-35.20%"
"05/01/2020","713.00","713.00","713.00","713.00","","-42.31%"
"04/01/2020","1,236.00","1,236.00","1,236.00","1,236.00","","-11.33%"
"03/01/2020","1,394.00","1,394.00","1,394.00","1,394.00","","75.13%"
"02/01/2020","796.00","796.00","796.00","796.00","","-9.75%"
"01/01/2020","882.00","882.00","882.00","882.00","","-44.77%"
"12/01/2019","1,597.00","1,597.00","1,597.00","1,597.00","","26.05%"
"11/01/2019","1,267.00","1,267.00","1,267.00","1,267.00","","21.83%"
