дата,средняя цена
Apr 2025,72.235
May 2025,64.0955
June 2025,67.307
July 2025,67.70500000000001
August 2025,66.06049999999999
September 2025,65.481
October 2025,64.443
November 2025,62.059
December 2025,60.0305
January 2026,61.381
February 2026,62.1405
March 2026,66.028
April 2026,66.82
May 2026,68.358
June 2026,71.591
July 2026,72.017
August 2026,70.2925
September 2026,69.798
October 2026,68.9085
November 2026,66.3215
December 2026,64.371
January 2027,65.581
February 2027,66.4855
March 2027,70.188
April 2027,71.271
May 2027,72.713
June 2027,75.883
July 2027,76.497
August 2027,74.715
September 2027,74.134
October 2027,73.23750000000001
November 2027,70.71000000000001
December 2027,68.72200000000001
January 2028,70.073
February 2028,70.815
March 2028,74.621
April 2028,75.872
May 2028,77.017
June 2028,80.378
July 2028,80.676
August 2028,79.0495
September 2028,78.48750000000001
October 2028,77.434
November 2028,75.03450000000001
December 2028,73.012
January 2029,74.29
February 2029,75.2425
March 2029,79.071
April 2029,80.019
May 2029,81.324
June 2029,84.62
July 2029,85.00450000000001
August 2029,83.3985
September 2029,82.8355
October 2029,81.7805
November 2029,79.418
December 2029,77.243
January 2030,78.569
February 2030,79.506
March 2030,83.243
April 2030,84.175
