Date,Oil_Price,Freight_Price,crisis_COVID-19 oil crash,crisis_Dot-com crash,crisis_Global financial crisis,crisis_Inflation and rate hikes,crisis_Oil price collapse,crisis_None,war_Arab Spring,war_Crimea crisis,war_Iraq War,war_Ukraine War,war_None,sanctions_Iran sanctions,sanctions_Russia sanctions,sanctions_None,pandemic_COVID-19,pandemic_None,month,year,quarter,is_year_start,is_year_end,sin_month,cos_month,Freight_Lag1,Freight_Lag2,Oil_Lag1,Oil_Lag2,Freight_SMA_3,Oil_SMA_3,has_crisis,has_war,has_sanctions,has_pandemic,Oil_Price_lag1,Oil_Price_lag2,Oil_Price_lag3,Freight_Price_lag1,Freight_Price_lag2,Freight_Price_lag3
1972-08-31,37.02112912591288,1601.7823519940994,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,2002.0,3.0,0.0,0.0,-0.8660254037844383,-0.5000000000000003,742.0,733.0,25.44,25.58,734.3333333333334,26.16333333333333,1.0,0.0,0.0,0.0,37.02112912591288,37.02112912591288,37.02112912591288,1601.7823519940994,1601.7823519940994,1601.7823519940994
1972-09-30,52.839166331307005,2228.043708926205,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,2002.0,3.0,0.0,0.0,-0.8660254037844383,-0.5000000000000003,742.0,733.0,25.44,25.58,734.3333333333334,26.16333333333333,1.0,0.0,0.0,0.0,37.02112912591288,37.02112912591288,37.02112912591288,1601.7823519940994,1601.7823519940994,1601.7823519940994
1972-10-31,34.04649750440618,1545.0635223773938,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,2002.0,3.0,0.0,0.0,-0.8660254037844383,-0.5000000000000003,742.0,733.0,25.44,25.58,734.3333333333334,26.16333333333333,1.0,0.0,0.0,0.0,52.839166331307005,37.02112912591288,37.02112912591288,2228.043708926205,1601.7823519940994,1601.7823519940994
1972-11-30,35.70558112696694,1460.6379048778915,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,2002.0,3.0,0.0,0.0,-0.8660254037844383,-0.5000000000000003,742.0,733.0,25.44,25.58,734.3333333333334,26.16333333333333,1.0,0.0,0.0,0.0,34.04649750440618,52.839166331307005,37.02112912591288,1545.0635223773938,2228.043708926205,1601.7823519940994
1972-12-31,31.437114372930303,1462.6644212801086,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,2002.0,3.0,0.0,0.0,-0.8660254037844383,-0.5000000000000003,742.0,733.0,25.44,25.58,734.3333333333334,26.16333333333333,1.0,0.0,0.0,0.0,35.70558112696694,34.04649750440618,52.839166331307005,1460.6379048778915,1545.0635223773938,2228.043708926205
1973-01-31,40.54938986186495,1273.7153175871117,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,2002.0,3.0,0.0,0.0,-0.8660254037844383,-0.5000000000000003,742.0,733.0,25.44,25.58,734.3333333333334,26.16333333333333,1.0,0.0,0.0,0.0,31.437114372930303,35.70558112696694,34.04649750440618,1462.6644212801086,1460.6379048778915,1545.0635223773938
1973-02-28,66.73106396812724,1352.4038965254665,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,2002.0,3.0,0.0,0.0,-0.8660254037844383,-0.5000000000000003,742.0,733.0,25.44,25.58,734.3333333333334,26.16333333333333,1.0,0.0,0.0,0.0,40.54938986186495,31.437114372930303,35.70558112696694,1273.7153175871117,1462.6644212801086,1460.6379048778915
1973-03-31,45.42052711122107,1302.2179270375518,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,2002.0,3.0,0.0,0.0,-0.8660254037844383,-0.5000000000000003,742.0,733.0,25.44,25.58,734.3333333333334,26.16333333333333,1.0,0.0,0.0,0.0,66.73106396812724,40.54938986186495,31.437114372930303,1352.4038965254665,1273.7153175871117,1462.6644212801086
1973-04-30,50.11465571926749,1462.3568231822942,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,2002.0,3.0,0.0,0.0,-0.8660254037844383,-0.5000000000000003,742.0,733.0,25.44,25.58,734.3333333333334,26.16333333333333,1.0,0.0,0.0,0.0,45.42052711122107,66.73106396812724,40.54938986186495,1302.2179270375518,1352.4038965254665,1273.7153175871117
1973-05-31,46.146536355846735,1593.900593954458,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,2002.0,3.0,0.0,0.0,-0.8660254037844383,-0.5000000000000003,742.0,733.0,25.44,25.58,734.3333333333334,26.16333333333333,1.0,0.0,0.0,0.0,50.11465571926749,45.42052711122107,66.73106396812724,1462.3568231822942,1302.2179270375518,1352.4038965254665
1973-06-30,37.20633289951199,1651.1303606865945,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,2002.0,3.0,0.0,0.0,-0.8660254037844383,-0.5000000000000003,742.0,733.0,25.44,25.58,734.3333333333334,26.16333333333333,1.0,0.0,0.0,0.0,46.146536355846735,50.11465571926749,45.42052711122107,1593.900593954458,1462.3568231822942,1302.2179270375518
1973-07-31,40.18920938997977,1605.5589865335678,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,2002.0,3.0,0.0,0.0,-0.8660254037844383,-0.5000000000000003,742.0,733.0,25.44,25.58,734.3333333333334,26.16333333333333,1.0,0.0,0.0,0.0,37.20633289951199,46.146536355846735,50.11465571926749,1651.1303606865945,1593.900593954458,1462.3568231822942
1973-08-31,38.09693238971042,1606.470204838282,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,2002.0,3.0,0.0,0.0,-0.8660254037844383,-0.5000000000000003,742.0,733.0,25.44,25.58,734.3333333333334,26.16333333333333,1.0,0.0,0.0,0.0,40.18920938997977,37.20633289951199,46.146536355846735,1605.5589865335678,1651.1303606865945,1593.900593954458
1973-09-30,52.08807316582055,1633.5326034878865,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,2002.0,3.0,0.0,0.0,-0.8660254037844383,-0.5000000000000003,742.0,733.0,25.44,25.58,734.3333333333334,26.16333333333333,1.0,0.0,0.0,0.0,38.09693238971042,40.18920938997977,37.20633289951199,1606.470204838282,1605.5589865335678,1651.1303606865945
1973-10-31,42.77196034606898,1491.211173429479,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,2002.0,3.0,0.0,0.0,-0.8660254037844383,-0.5000000000000003,742.0,733.0,25.44,25.58,734.3333333333334,26.16333333333333,1.0,0.0,0.0,0.0,52.08807316582055,38.09693238971042,40.18920938997977,1633.5326034878865,1606.470204838282,1605.5589865335678
1973-11-30,2.220585258855678,1510.5158299726284,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,2002.0,3.0,0.0,0.0,-0.8660254037844383,-0.5000000000000003,742.0,733.0,25.44,25.58,734.3333333333334,26.16333333333333,1.0,0.0,0.0,0.0,42.77196034606898,52.08807316582055,38.09693238971042,1491.211173429479,1633.5326034878865,1606.470204838282
1973-12-31,35.900842250547136,1432.5586842640066,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,2002.0,3.0,0.0,0.0,-0.8660254037844383,-0.5000000000000003,742.0,733.0,25.44,25.58,734.3333333333334,26.16333333333333,1.0,0.0,0.0,0.0,2.220585258855678,42.77196034606898,52.08807316582055,1510.5158299726284,1491.211173429479,1633.5326034878865
