Date,Oil_Price
2025-04-01,72.235
2025-05-01,64.0955
2025-06-01,67.307
2025-07-01,67.70500000000001
2025-08-01,66.06049999999999
2025-09-01,65.481
2025-10-01,64.443
2025-11-01,62.059
2025-12-01,60.0305
2026-01-01,61.381
2026-02-01,62.1405
2026-03-01,66.028
2026-04-01,66.82
2026-05-01,68.358
2026-06-01,71.591
2026-07-01,72.017
2026-08-01,70.2925
2026-09-01,69.798
2026-10-01,68.9085
2026-11-01,66.3215
2026-12-01,64.371
2027-01-01,65.581
2027-02-01,66.4855
2027-03-01,70.188
2027-04-01,71.271
2027-05-01,72.713
2027-06-01,75.883
2027-07-01,76.497
2027-08-01,74.715
2027-09-01,74.134
2027-10-01,73.23750000000001
2027-11-01,70.71000000000001
2027-12-01,68.72200000000001
2028-01-01,70.073
2028-02-01,70.815
2028-03-01,74.621
2028-04-01,75.872
2028-05-01,77.017
2028-06-01,80.378
2028-07-01,80.676
2028-08-01,79.0495
2028-09-01,78.48750000000001
2028-10-01,77.434
2028-11-01,75.03450000000001
2028-12-01,73.012
2029-01-01,74.29
2029-02-01,75.2425
2029-03-01,79.071
2029-04-01,80.019
2029-05-01,81.324
2029-06-01,84.62
2029-07-01,85.00450000000001
2029-08-01,83.3985
2029-09-01,82.8355
2029-10-01,81.7805
2029-11-01,79.418
2029-12-01,77.243
2030-01-01,78.569
2030-02-01,79.506
2030-03-01,83.243
2030-04-01,84.175
