"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2019","70.86","70.86","70.86","70.86","","0.23%"
"08/01/2019","70.70","70.70","70.70","70.70","","1.25%"
"07/01/2019","69.83","69.83","69.83","69.83","","1.32%"
"06/01/2019","68.92","68.92","68.92","68.92","","2.06%"
"05/01/2019","67.53","67.53","67.53","67.53","","0.03%"
"04/01/2019","67.51","67.51","67.51","67.51","","0.61%"
"03/01/2019","67.10","67.10","67.10","67.10","","0.40%"
"02/01/2019","66.83","66.83","66.83","66.83","","0.56%"
"01/01/2019","66.46","66.46","66.46","66.46","","3.70%"
"12/01/2018","64.09","64.09","64.09","64.09","","1.34%"
"11/01/2018","63.24","63.24","63.24","63.24","","1.41%"
"10/01/2018","62.36","62.36","62.36","62.36","","0.84%"
"09/01/2018","61.84","61.84","61.84","61.84","","-0.23%"
"08/01/2018","61.98","61.98","61.98","61.98","","0.28%"
"07/01/2018","61.81","61.81","61.81","61.81","","0.13%"
"06/01/2018","61.73","61.73","61.73","61.73","","0.00%"
"05/01/2018","61.73","61.73","61.73","61.73","","0.23%"
"04/01/2018","61.59","61.59","61.59","61.59","","0.18%"
"03/01/2018","61.48","61.48","61.48","61.48","","0.13%"
"02/01/2018","61.40","61.40","61.40","61.40","","0.20%"
"01/01/2018","61.28","61.28","61.28","61.28","","0.03%"
"12/01/2017","61.26","61.26","61.26","61.26","","0.15%"
"11/01/2017","61.17","61.17","61.17","61.17","","0.33%"
"10/01/2017","60.97","60.97","60.97","60.97","","-0.05%"
"09/01/2017","61.00","61.00","61.00","61.00","","0.00%"
"08/01/2017","61.00","61.00","61.00","61.00","","-1.61%"
"07/01/2017","62.00","62.00","62.00","62.00","","0.00%"
"06/01/2017","62.00","62.00","62.00","62.00","","1.64%"
"05/01/2017","61.00","61.00","61.00","61.00","","1.67%"
"04/01/2017","60.00","60.00","60.00","60.00","","0.00%"
"03/01/2017","60.00","60.00","60.00","60.00","","0.00%"
"02/01/2017","60.00","60.00","60.00","60.00","","1.69%"
"01/01/2017","59.00","59.00","59.00","59.00","","-1.67%"
"12/01/2016","60.00","60.00","60.00","60.00","","0.00%"
"11/01/2016","60.00","60.00","60.00","60.00","","0.00%"
"10/01/2016","60.00","60.00","60.00","60.00","","-1.64%"
"09/01/2016","61.00","61.00","61.00","61.00","","-1.61%"
"08/01/2016","62.00","62.00","62.00","62.00","","-1.59%"
"07/01/2016","63.00","63.00","63.00","63.00","","-3.08%"
"06/01/2016","65.00","65.00","65.00","65.00","","-10.96%"
"05/01/2016","73.00","73.00","73.00","73.00","","-2.67%"
"04/01/2016","75.00","75.00","75.00","75.00","","-1.32%"
"03/01/2016","76.00","76.00","76.00","76.00","","-1.30%"
"02/01/2016","77.00","77.00","77.00","77.00","","-2.53%"
"01/01/2016","79.00","79.00","79.00","79.00","","-1.25%"
"12/01/2015","80.00","80.00","80.00","80.00","","0.00%"
"11/01/2015","80.00","80.00","80.00","80.00","","0.00%"
"10/01/2015","80.00","80.00","80.00","80.00","","0.00%"
"09/01/2015","80.00","80.00","80.00","80.00","","-1.23%"
"08/01/2015","81.00","81.00","81.00","81.00","","1.25%"
"07/01/2015","80.00","80.00","80.00","80.00","","0.00%"
"06/01/2015","80.00","80.00","80.00","80.00","","0.00%"
"05/01/2015","80.00","80.00","80.00","80.00","","1.27%"
"04/01/2015","79.00","79.00","79.00","79.00","","0.00%"
"03/01/2015","79.00","79.00","79.00","79.00","","1.28%"
"02/01/2015","78.00","78.00","78.00","78.00","","0.00%"
"01/01/2015","78.00","78.00","78.00","78.00","","4.00%"
"12/01/2014","75.00","75.00","75.00","75.00","","1.35%"
"11/01/2014","74.00","74.00","74.00","74.00","","1.37%"
"10/01/2014","73.00","73.00","73.00","73.00","","-1.35%"
"09/01/2014","74.00","74.00","74.00","74.00","","1.37%"
"08/01/2014","73.00","73.00","73.00","73.00","","0.00%"
"07/01/2014","73.00","73.00","73.00","73.00","","0.00%"
"06/01/2014","73.00","73.00","73.00","73.00","","0.00%"
"05/01/2014","73.00","73.00","73.00","73.00","","2.82%"
"04/01/2014","71.00","71.00","71.00","71.00","","1.43%"
"03/01/2014","70.00","70.00","70.00","70.00","","6.06%"
"02/01/2014","66.00","66.00","66.00","66.00","","4.76%"
"01/01/2014","63.00","63.00","63.00","63.00","","6.78%"
"12/01/2013","59.00","59.00","59.00","59.00","","7.27%"
"11/01/2013","55.00","55.00","55.00","55.00","","3.77%"
"10/01/2013","53.00","53.00","53.00","53.00","","1.92%"
"09/01/2013","52.00","52.00","52.00","52.00","","0.00%"
"08/01/2013","52.00","52.00","52.00","52.00","","-3.70%"
"07/01/2013","54.00","54.00","54.00","54.00","","1.89%"
"06/01/2013","53.00","53.00","53.00","53.00","","-1.85%"
"05/01/2013","54.00","54.00","54.00","54.00","","0.00%"
"04/01/2013","54.00","54.00","54.00","54.00","","0.00%"
"03/01/2013","54.00","54.00","54.00","54.00","","0.00%"
"02/01/2013","54.00","54.00","54.00","54.00","","-1.82%"
"01/01/2013","55.00","55.00","55.00","55.00","","1.85%"
"12/01/2012","54.00","54.00","54.00","54.00","","-1.82%"
"11/01/2012","55.00","55.00","55.00","55.00","","-1.79%"
"10/01/2012","56.00","56.00","56.00","56.00","","0.00%"
"09/01/2012","56.00","56.00","56.00","56.00","","0.00%"
"08/01/2012","56.00","56.00","56.00","56.00","","0.00%"
"07/01/2012","56.00","56.00","56.00","56.00","","-1.75%"
"06/01/2012","57.00","57.00","57.00","57.00","","0.00%"
"05/01/2012","57.00","57.00","57.00","57.00","","-1.72%"
"04/01/2012","58.00","58.00","58.00","58.00","","-1.69%"
"03/01/2012","59.00","59.00","59.00","59.00","","0.00%"
"02/01/2012","59.00","59.00","59.00","59.00","","0.00%"
"01/01/2012","59.00","59.00","59.00","59.00","","5.36%"
"12/01/2011","56.00","56.00","56.00","56.00","","0.00%"
"11/01/2011","56.00","56.00","56.00","56.00","","-5.08%"
"10/01/2011","59.00","59.00","59.00","59.00","","-19.18%"
"09/01/2011","73.00","73.00","73.00","73.00","","-2.67%"
"08/01/2011","75.00","75.00","75.00","75.00","","-7.41%"
"07/01/2011","81.00","81.00","81.00","81.00","","-1.22%"
"06/01/2011","82.00","82.00","82.00","82.00","","0.00%"
"05/01/2011","82.00","82.00","82.00","82.00","","0.00%"
"04/01/2011","82.00","82.00","82.00","82.00","","0.00%"
"03/01/2011","82.00","82.00","82.00","82.00","","-1.20%"
"02/01/2011","83.00","83.00","83.00","83.00","","-1.19%"
"01/01/2011","84.00","84.00","84.00","84.00","","0.00%"
"12/01/2010","84.00","84.00","84.00","84.00","","-3.45%"
"11/01/2010","87.00","87.00","87.00","87.00","","-2.25%"
"10/01/2010","89.00","89.00","89.00","89.00","","-2.20%"
"09/01/2010","91.00","91.00","91.00","91.00","","-1.09%"
"08/01/2010","92.00","92.00","92.00","92.00","","0.00%"
"07/01/2010","92.00","92.00","92.00","92.00","","0.00%"
"06/01/2010","92.00","92.00","92.00","92.00","","4.55%"
"05/01/2010","88.00","88.00","88.00","88.00","","4.76%"
"04/01/2010","84.00","84.00","84.00","84.00","","6.33%"
"03/01/2010","79.00","79.00","79.00","79.00","","0.00%"
"02/01/2010","79.00","79.00","79.00","79.00","","0.00%"
"01/01/2010","79.00","79.00","79.00","79.00","","2.60%"
"12/01/2009","77.00","77.00","77.00","77.00","","0.00%"
"11/01/2009","77.00","77.00","77.00","77.00","","-1.28%"
"10/01/2009","78.00","78.00","78.00","78.00","","-1.27%"
"09/01/2009","79.00","79.00","79.00","79.00","","-3.66%"
"08/01/2009","82.00","82.00","82.00","82.00","","-1.20%"
