Date,Freight_Price,Oil_Price
2003-10-01,60.28,27.7
2003-11-01,64.22,28.45
2003-12-01,71.69,30.17
2004-01-01,73.19,29.18
2004-02-01,76.46,32.23
2004-03-01,76.96,31.51
2004-04-01,78.92,34.48
2004-05-01,81.22,36.58
2004-06-01,84.39,34.5
2004-07-01,87.35,40.03
2004-08-01,91.28,39.61
2004-09-01,93.11,46.38
2004-10-01,102.28,48.98
2004-11-01,107.0,45.51
2004-12-01,107.58,40.46
2005-01-01,108.67,45.92
2005-02-01,110.11,50.06
2005-03-01,119.33,54.29
2005-04-01,121.17,51.09
2005-05-01,117.94,50.73
2005-06-01,117.33,55.58
2005-07-01,116.63,59.37
2005-08-01,114.49,67.02
2005-09-01,113.97,63.48
2005-10-01,112.95,58.1
2005-11-01,112.72,55.05
2005-12-01,113.75,58.98
2006-01-01,116.35,65.99
2006-02-01,117.15,61.76
2006-03-01,117.38,65.91
2006-04-01,116.86,72.5
2006-05-01,115.7,70.41
2006-06-01,116.0,73.51
2006-07-01,116.0,75.15
2006-08-01,119.0,70.25
2006-09-01,120.0,62.48
2006-10-01,120.0,59.03
2006-11-01,120.0,64.26
2006-12-01,119.0,60.86
2007-01-01,118.0,57.4
2007-02-01,117.0,61.89
2007-03-01,117.0,68.1
2007-04-01,117.0,67.65
2007-05-01,118.0,68.04
2007-06-01,126.0,71.41
2007-07-01,134.0,77.05
2007-08-01,133.0,72.69
2007-09-01,131.0,79.17
2007-10-01,130.0,90.63
2007-11-01,129.0,88.26
2007-12-01,132.0,93.85
2008-01-01,134.0,92.21
2008-02-01,135.0,100.1
2008-03-01,142.0,100.3
2008-04-01,144.0,111.36
2008-05-01,147.0,127.78
2008-06-01,157.0,139.83
2008-07-01,162.0,123.98
2008-08-01,163.0,114.05
2008-09-01,160.0,98.17
2008-10-01,138.0,65.32
2008-11-01,110.0,53.49
2008-12-01,107.0,45.59
2009-01-01,97.0,45.88
2009-02-01,94.0,46.35
2009-03-01,90.0,49.23
2009-04-01,87.0,50.8
2009-05-01,85.0,65.52
2009-06-01,84.0,69.3
2009-07-01,83.0,71.7
2009-08-01,82.0,69.65
2009-09-01,79.0,69.07
2009-10-01,78.0,75.2
2009-11-01,77.0,78.47
2009-12-01,77.0,77.93
2010-01-01,79.0,71.46
2010-02-01,79.0,77.59
2010-03-01,79.0,82.7
2010-04-01,84.0,87.44
2010-05-01,88.0,74.65
2010-06-01,92.0,75.01
2010-07-01,92.0,78.18
2010-08-01,92.0,74.64
