,Date,Freight_Price,Oil_Price
0,2025-03-01,660.00,70.88
1,2025-02-01,670.00,72.81
2,2025-01-01,662.00,75.67
3,2024-12-01,625.00,74.24
4,2024-11-01,663.00,71.84
5,2024-10-01,523.00,72.81
6,2024-09-01,554.00,71.77
7,2024-08-01,614.00,76.93
8,2024-07-01,778.00,80.84
9,2024-06-01,834.00,85.0
10,2024-05-01,1023.00,81.11
11,2024-04-01,926.00,86.33
12,2024-03-01,1072.00,87.0
13,2024-02-01,1014.00,81.91
14,2024-01-01,1208.00,81.71
15,2023-12-01,960.00,77.04
16,2023-11-01,834.00,80.86
17,2023-10-01,780.00,85.02
18,2023-09-01,813.00,92.2
19,2023-08-01,847.00,86.83
20,2023-07-01,704.00,85.43
21,2023-06-01,620.00,75.41
22,2023-05-01,674.00,72.6
23,2023-04-01,752.00,80.33
24,2023-03-01,1248.00,79.89
25,2023-02-01,847.00,83.45
26,2023-01-01,643.00,85.46
27,2022-12-01,2135.00,85.65
28,2022-11-01,1816.00,86.97
29,2022-10-01,1213.00,92.81
30,2022-09-01,1162.00,85.14
31,2022-08-01,1236.00,95.64
32,2022-07-01,1363.00,103.97
33,2022-06-01,1566.00,109.03
34,2022-05-01,1426.00,115.6
35,2022-04-01,1255.00,107.14
36,2022-03-01,921.00,104.71
37,2022-02-01,731.00,97.97
38,2022-01-01,560.00,89.26
39,2021-12-01,788.00,77.35
40,2021-11-01,636.00,69.23
41,2021-10-01,568.00,83.72
42,2021-09-01,496.00,78.31
43,2021-08-01,535.00,71.63
44,2021-07-01,488.00,75.41
45,2021-06-01,447.00,74.62
46,2021-05-01,509.00,68.95
47,2021-04-01,469.00,66.76
48,2021-03-01,643.00,62.74
49,2021-02-01,526.00,64.42
50,2021-01-01,511.00,55.04
51,2020-12-01,385.00,51.82
52,2020-11-01,351.00,47.88
53,2020-10-01,312.00,37.94
54,2020-09-01,373.00,42.3
55,2020-08-01,485.00,45.66
56,2020-07-01,356.00,43.52
57,2020-06-01,396.00,41.27
58,2020-05-01,587.00,37.84
59,2020-04-01,1912.00,26.48
60,2020-03-01,866.00,26.35
61,2020-02-01,652.00,49.67
62,2020-01-01,615.00,56.62
63,2019-12-01,952.00,65.29
64,2019-11-01,923.00,60.49
65,2019-10-01,693.00,59.62
66,2019-09-01,468.00,59.25
67,2019-08-01,468.00,59.25
68,2019-07-01,456.00,65.05
69,2019-06-01,539.00,64.74
70,2019-05-01,537.00,61.99
71,2019-04-01,567.00,72.06
72,2019-03-01,737.00,67.58
