,Unnamed: 0,Date,Freight_price,Oil_price
0,0,2025-03-01,660.00,70.88
1,1,2025-02-01,670.00,72.81
2,2,2025-01-01,662.00,75.67
3,3,2024-12-01,625.00,74.24
4,4,2024-11-01,663.00,71.84
5,5,2024-10-01,523.00,72.81
6,6,2024-09-01,554.00,71.77
7,7,2024-08-01,614.00,76.93
8,8,2024-07-01,778.00,80.84
9,9,2024-06-01,834.00,85.0
10,10,2024-05-01,"1,023.00",81.11
11,11,2024-04-01,926.00,86.33
12,12,2024-03-01,"1,072.00",87.0
13,13,2024-02-01,"1,014.00",81.91
14,14,2024-01-01,"1,208.00",81.71
15,15,2023-12-01,960.00,77.04
16,16,2023-11-01,834.00,80.86
17,17,2023-10-01,780.00,85.02
18,18,2023-09-01,813.00,92.2
19,19,2023-08-01,847.00,86.83
20,20,2023-07-01,704.00,85.43
21,21,2023-06-01,620.00,75.41
22,22,2023-05-01,674.00,72.6
23,23,2023-04-01,752.00,80.33
24,24,2023-03-01,"1,248.00",79.89
25,25,2023-02-01,847.00,83.45
26,26,2023-01-01,643.00,85.46
27,27,2022-12-01,"2,135.00",85.65
28,28,2022-11-01,"1,816.00",86.97
29,29,2022-10-01,"1,213.00",92.81
30,30,2022-09-01,"1,162.00",85.14
31,31,2022-08-01,"1,236.00",95.64
32,32,2022-07-01,"1,363.00",103.97
33,33,2022-06-01,"1,566.00",109.03
34,34,2022-05-01,"1,426.00",115.6
35,35,2022-04-01,"1,255.00",107.14
36,36,2022-03-01,921.00,104.71
37,37,2022-02-01,731.00,97.97
38,38,2022-01-01,560.00,89.26
39,39,2021-12-01,788.00,77.35
40,40,2021-11-01,636.00,69.23
41,41,2021-10-01,568.00,83.72
42,42,2021-09-01,496.00,78.31
43,43,2021-08-01,535.00,71.63
44,44,2021-07-01,488.00,75.41
45,45,2021-06-01,447.00,74.62
46,46,2021-05-01,509.00,68.95
47,47,2021-04-01,469.00,66.76
48,48,2021-03-01,643.00,62.74
49,49,2021-02-01,526.00,64.42
50,50,2021-01-01,511.00,55.04
51,51,2020-12-01,385.00,51.82
52,52,2020-11-01,351.00,47.88
53,53,2020-10-01,312.00,37.94
54,54,2020-09-01,373.00,42.3
55,55,2020-08-01,485.00,45.66
56,56,2020-07-01,356.00,43.52
57,57,2020-06-01,396.00,41.27
58,58,2020-05-01,587.00,37.84
59,59,2020-04-01,"1,912.00",26.48
60,60,2020-03-01,866.00,26.35
61,61,2020-02-01,652.00,49.67
62,62,2020-01-01,615.00,56.62
63,63,2019-12-01,952.00,65.29
64,64,2019-11-01,923.00,60.49
65,65,2019-10-01,693.00,59.62
66,66,2019-09-01,468.00,59.25
67,67,2019-08-01,468.00,59.25
68,68,2019-07-01,456.00,65.05
69,69,2019-06-01,539.00,64.74
70,70,2019-05-01,537.00,61.99
71,71,2019-04-01,567.00,72.06
72,72,2019-03-01,737.00,67.58
73,73,2019-02-01,576.00,66.31
74,74,2019-01-01,653.00,60.84
75,75,2018-12-01,823.00,54.02
76,76,2018-11-01,792.00,59.46
77,77,2018-10-01,569.00,75.04
78,78,2018-09-01,550.00,82.73
79,79,2018-08-01,501.00,77.64
80,80,2018-07-01,498.00,74.21
81,81,2018-06-01,496.00,79.23
82,82,2018-05-01,555.00,77.56
83,83,2018-04-01,567.00,74.69
84,84,2018-03-01,560.00,69.34
85,85,2018-02-01,622.00,64.73
86,86,2018-01-01,602.00,68.89
87,87,2017-12-01,720.00,66.44
88,88,2017-11-01,634.00,62.63
89,89,2017-10-01,528.00,60.94
90,90,2017-09-01,667.00,56.79
91,91,2017-08-01,703.00,52.86
92,92,2017-07-01,541.00,52.72
93,93,2017-06-01,563.00,48.77
94,94,2017-05-01,558.00,50.76
95,95,2017-04-01,613.00,52.05
96,96,2017-03-01,751.00,53.53
97,97,2017-02-01,601.00,56.51
98,98,2017-01-01,603.00,55.58
99,99,2016-12-01,678.00,57.49
100,100,2016-11-01,439.00,51.84
101,101,2016-10-01,417.00,48.61
102,102,2016-09-01,352.00,50.19
103,103,2016-08-01,447.00,46.89
104,104,2016-07-01,465.00,43.53
105,105,2016-06-01,464.00,49.71
106,106,2016-05-01,496.00,49.89
107,107,2016-04-01,545.00,47.37
108,108,2016-03-01,495.00,40.33
109,109,2016-02-01,515.00,36.57
110,110,2016-01-01,645.00,35.99
111,111,2015-12-01,580.00,37.67
112,112,2015-11-01,531.00,45.24
113,113,2015-10-01,464.00,50.31
114,114,2015-09-01,511.00,49.05
115,115,2015-08-01,591.00,54.99
116,116,2015-07-01,728.00,52.85
117,117,2015-06-01,784.00,64.14
118,118,2015-05-01,694.00,66.14
119,119,2015-04-01,606.00,67.45
120,120,2015-03-01,676.00,56.21
121,121,2015-02-01,695.00,63.15
122,122,2015-01-01,678.00,53.95
123,123,2014-12-01,787.00,58.21
124,124,2014-11-01,823.00,70.58
125,125,2014-10-01,735.00,86.34
126,126,2014-09-01,570.00,95.32
127,127,2014-08-01,545.00,103.77
128,128,2014-07-01,556.00,106.53
129,129,2014-06-01,549.00,112.07
130,130,2014-05-01,525.00,108.68
131,131,2014-04-01,522.00,108.07
132,132,2014-03-01,610.00,107.76
133,133,2014-02-01,629.00,109.07
134,134,2014-01-01,606.00,106.4
135,135,2013-12-01,616.00,110.8
136,136,2013-11-01,579.00,109.69
137,137,2013-10-01,487.00,108.84
138,138,2013-09-01,546.00,108.37
139,139,2013-08-01,604.00,114.01
140,140,2013-07-01,615.00,107.7
141,141,2013-06-01,561.00,102.16
142,142,2013-05-01,589.00,100.39
143,143,2013-04-01,609.00,102.37
144,144,2013-03-01,691.00,110.02
145,145,2013-02-01,693.00,110.42
146,146,2013-01-01,706.00,114.54
147,147,2012-12-01,756.00,109.89
148,148,2012-11-01,741.00,110.25
149,149,2012-10-01,647.00,107.56
150,150,2012-09-01,642.00,111.58
151,151,2012-08-01,581.00,114.05
152,152,2012-07-01,579.00,103.84
153,153,2012-06-01,565.00,97.88
154,154,2012-05-01,605.00,101.43
155,155,2012-04-01,626.00,119.47
156,156,2012-03-01,642.00,122.88
157,157,2012-02-01,723.00,122.66
158,158,2012-01-01,651.00,110.98
159,159,2011-12-01,908.00,107.38
160,160,2011-11-01,719.00,110.52
161,161,2011-10-01,728.00,109.56
162,162,2011-09-01,725.00,102.76
163,163,2011-08-01,688.00,114.85
164,164,2011-07-01,684.00,116.74
165,165,2011-06-01,694.00,112.48
166,166,2011-05-01,716.00,116.73
167,167,2011-04-01,892.00,125.89
168,168,2011-03-01,841.00,117.36
169,169,2011-02-01,724.00,111.8
170,170,2011-01-01,644.00,101.01
171,171,2010-12-01,759.00,94.75
172,172,2010-11-01,740.00,85.92
173,173,2010-10-01,627.00,83.15
174,174,2010-09-01,624.00,82.31
175,175,2010-08-01,679.00,74.64
176,176,2010-07-01,796.00,78.18
177,177,2010-06-01,785.00,75.01
178,178,2010-05-01,680.00,74.65
179,179,2010-04-01,733.00,87.44
180,180,2010-03-01,708.00,82.7
181,181,2010-02-01,762.00,77.59
182,182,2010-01-01,885.00,71.46
183,183,2009-12-01,634.00,77.93
184,184,2009-11-01,519.00,78.47
185,185,2009-10-01,442.00,75.2
186,186,2009-09-01,518.00,69.07
187,187,2009-08-01,433.00,69.65
188,188,2009-07-01,465.00,71.7
189,189,2009-06-01,465.00,69.3
190,190,2009-05-01,481.00,65.52
191,191,2009-04-01,403.00,50.8
192,192,2009-03-01,372.00,49.23
193,193,2009-02-01,554.00,46.35
194,194,2009-01-01,598.00,45.88
195,195,2008-12-01,838.00,45.59
196,196,2008-11-01,888.00,53.49
197,197,2008-10-01,"1,063.00",65.32
198,198,2008-09-01,"1,399.00",98.17
199,199,2008-08-01,"1,480.00",114.05
200,200,2008-07-01,"1,305.00",123.98
201,201,2008-06-01,"1,465.00",139.83
202,202,2008-05-01,"1,369.00",127.78
203,203,2008-04-01,"1,210.00",111.36
204,204,2008-03-01,883.00,100.3
205,205,2008-02-01,946.00,100.1
206,206,2008-01-01,943.00,92.21
207,207,2007-12-01,"1,086.00",93.85
208,208,2007-11-01,"1,184.00",88.26
209,209,2007-10-01,808.00,90.63
210,210,2007-09-01,771.00,79.17
211,211,2007-08-01,780.00,72.69
212,212,2007-07-01,918.00,77.05
213,213,2007-06-01,949.00,71.41
214,214,2007-05-01,"1,157.00",68.04
215,215,2007-04-01,"1,049.00",67.65
216,216,2007-03-01,"1,096.00",68.1
217,217,2007-02-01,"1,055.00",61.89
218,218,2007-01-01,911.00,57.4
219,219,2006-12-01,"1,289.00",60.86
220,220,2006-11-01,931.00,64.26
221,221,2006-10-01,872.00,59.03
222,222,2006-09-01,"1,116.00",62.48
223,223,2006-08-01,"1,263.00",70.25
224,224,2006-07-01,"1,227.00",75.15
225,225,2006-06-01,"1,076.00",73.51
226,226,2006-05-01,"1,045.00",70.41
227,227,2006-04-01,"1,127.00",72.5
228,228,2006-03-01,816.00,65.91
229,229,2006-02-01,"1,005.00",61.76
230,230,2006-01-01,"1,394.00",65.99
231,231,2005-12-01,"1,587.00",58.98
232,232,2005-11-01,"1,316.00",55.05
233,233,2005-10-01,"1,842.00",58.1
234,234,2005-09-01,"1,797.00",63.48
235,235,2005-08-01,"1,212.00",67.02
236,236,2005-07-01,989.00,59.37
237,237,2005-06-01,"1,122.00",55.58
238,238,2005-05-01,"1,039.00",50.73
239,239,2005-04-01,"1,173.00",51.09
240,240,2005-03-01,"1,285.00",54.29
241,241,2005-02-01,"1,250.00",50.06
242,242,2005-01-01,"1,309.00",45.92
243,243,2004-12-01,"1,619.00",40.46
244,244,2004-11-01,"1,755.00",45.51
245,245,2004-10-01,"1,757.00",48.98
246,246,2004-09-01,"1,057.00",46.38
247,247,2004-08-01,"1,032.00",39.61
248,248,2004-07-01,"1,025.00",40.03
249,249,2004-06-01,"1,113.00",34.5
250,250,2004-05-01,"1,100.00",36.58
251,251,2004-04-01,908.00,34.48
252,252,2004-03-01,"1,042.00",31.51
253,253,2004-02-01,"1,469.00",32.23
254,254,2004-01-01,"1,327.00",29.18
255,255,2003-12-01,"1,099.00",30.17
