Date;Freight_Price;Oil_Price;crisis_COVID-19 oil crash;crisis_Dot-com crash;crisis_Global financial crisis;crisis_Inflation and rate hikes;crisis_Oil price collapse;crisis_None;war_Arab Spring;war_Crimea crisis;war_Iraq War;war_Ukraine War;war_None;sanctions_Iran sanctions;sanctions_Russia sanctions;sanctions_None;pandemic_COVID-19;pandemic_None;month;year;quarter;is_year_start;is_year_end;sin_month;cos_month;Freight_Lag1;Freight_Lag2;Oil_Lag1;Oil_Lag2;Freight_SMA_3;Oil_SMA_3;has_crisis;has_war;has_sanctions;has_pandemic
2002-08-01;728.0;27.47;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;8;2002;3;0;0;-0.8660254037844383;-0.5000000000000003;742.0;733.0;25.44;25.58;734.3333333333334;26.16333333333333;1;0;0;0
2002-09-01;683.0;28.75;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;9;2002;3;0;0;-1.0;-1.8369701987210294e-16;728.0;742.0;27.47;25.44;717.6666666666666;27.22;1;0;0;0
2002-10-01;721.0;25.72;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;10;2002;4;0;0;-0.8660254037844385;0.5;683.0;728.0;28.75;27.47;710.6666666666666;27.313333333333333;1;0;0;0
2002-11-01;886.0;25.16;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;11;2002;4;0;0;-0.5000000000000003;0.8660254037844383;721.0;683.0;25.72;28.75;763.3333333333334;26.543333333333333;0;0;0;0
2002-12-01;1033.0;28.66;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;12;2002;4;0;0;-2.4492935982947064e-16;1.0;886.0;721.0;25.16;25.72;880.0;26.513333333333332;0;0;0;0
2003-01-01;1061.0;31.1;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1;2003;1;1;0;0.4999999999999999;0.8660254037844386;1033.0;886.0;28.66;25.16;993.3333333333334;28.30666666666667;0;0;0;0
2003-02-01;1183.0;32.79;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;2;2003;1;0;0;0.8660254037844385;0.5000000000000001;1061.0;1033.0;31.1;28.66;1092.3333333333333;30.850000000000005;0;0;0;0
2003-03-01;1441.0;27.18;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;3;2003;1;0;0;1.0;6.123233995736766e-17;1183.0;1061.0;32.79;31.1;1228.3333333333333;30.35666666666667;0;1;0;0
2003-04-01;1153.0;23.68;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;4;2003;2;0;0;0.8660254037844387;-0.4999999999999997;1441.0;1183.0;27.18;32.79;1259.0;27.883333333333336;0;1;0;0
2003-05-01;918.0;26.32;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;5;2003;2;0;0;0.4999999999999999;-0.8660254037844386;1153.0;1441.0;23.68;27.18;1170.6666666666667;25.72666666666667;0;1;0;0
2003-06-01;874.0;28.33;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;6;2003;2;0;0;1.2246467991473532e-16;-1.0;918.0;1153.0;26.32;23.68;981.6666666666666;26.110000000000003;0;1;0;0
2003-07-01;1095.0;28.37;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;7;2003;3;0;0;-0.4999999999999997;-0.8660254037844387;874.0;918.0;28.33;26.32;962.3333333333334;27.673333333333336;0;1;0;0
2003-08-01;1049.0;29.49;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;8;2003;3;0;0;-0.8660254037844383;-0.5000000000000003;1095.0;874.0;28.37;28.33;1006.0;28.73;0;1;0;0
2003-09-01;888.0;27.61;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;9;2003;3;0;0;-1.0;-1.8369701987210294e-16;1049.0;1095.0;29.49;28.37;1010.6666666666666;28.49;0;1;0;0
2003-10-01;840.0;27.7;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;10;2003;4;0;0;-0.8660254037844385;0.5;888.0;1049.0;27.61;29.49;925.6666666666666;28.266666666666666;0;1;0;0
2003-11-01;991.0;28.45;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;11;2003;4;0;0;-0.5000000000000003;0.8660254037844383;840.0;888.0;27.7;27.61;906.3333333333334;27.92;0;1;0;0
2003-12-01;1099.0;30.17;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;12;2003;4;0;0;-2.4492935982947064e-16;1.0;991.0;840.0;28.45;27.7;976.6666666666666;28.773333333333337;0;1;0;0
2004-01-01;1327.0;29.18;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1;2004;1;1;0;0.4999999999999999;0.8660254037844386;1099.0;991.0;30.17;28.45;1139.0;29.26666666666667;0;0;0;0
2004-02-01;1469.0;32.23;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;2;2004;1;0;0;0.8660254037844385;0.5000000000000001;1327.0;1099.0;29.18;30.17;1298.3333333333333;30.52666666666667;0;0;0;0
2004-03-01;1042.0;31.51;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;3;2004;1;0;0;1.0;6.123233995736766e-17;1469.0;1327.0;32.23;29.18;1279.3333333333333;30.973333333333333;0;0;0;0
2004-04-01;908.0;34.48;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;4;2004;2;0;0;0.8660254037844387;-0.4999999999999997;1042.0;1469.0;31.51;32.23;1139.6666666666667;32.74;0;0;0;0
2004-05-01;1100.0;36.58;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;5;2004;2;0;0;0.4999999999999999;-0.8660254037844386;908.0;1042.0;34.48;31.51;1016.6666666666666;34.190000000000005;0;0;0;0
2004-06-01;1113.0;34.5;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;6;2004;2;0;0;1.2246467991473532e-16;-1.0;1100.0;908.0;36.58;34.48;1040.3333333333333;35.18666666666667;0;0;0;0
2004-07-01;1025.0;40.03;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;7;2004;3;0;0;-0.4999999999999997;-0.8660254037844387;1113.0;1100.0;34.5;36.58;1079.3333333333333;37.03666666666667;0;0;0;0
2004-08-01;1032.0;39.61;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;8;2004;3;0;0;-0.8660254037844383;-0.5000000000000003;1025.0;1113.0;40.03;34.5;1056.6666666666667;38.046666666666674;0;0;0;0
2004-09-01;1057.0;46.38;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;9;2004;3;0;0;-1.0;-1.8369701987210294e-16;1032.0;1025.0;39.61;40.03;1038.0;42.00666666666667;0;0;0;0
2004-10-01;1757.0;48.98;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;10;2004;4;0;0;-0.8660254037844385;0.5;1057.0;1032.0;46.38;39.61;1282.0;44.99;0;0;0;0
2004-11-01;1755.0;45.51;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;11;2004;4;0;0;-0.5000000000000003;0.8660254037844383;1757.0;1057.0;48.98;46.38;1523.0;46.95666666666667;0;0;0;0
2004-12-01;1619.0;40.46;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;12;2004;4;0;0;-2.4492935982947064e-16;1.0;1755.0;1757.0;45.51;48.98;1710.3333333333333;44.98333333333334;0;0;0;0
2005-01-01;1309.0;45.92;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1;2005;1;1;0;0.4999999999999999;0.8660254037844386;1619.0;1755.0;40.46;45.51;1561.0;43.96333333333334;0;0;0;0
2005-02-01;1250.0;50.06;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;2;2005;1;0;0;0.8660254037844385;0.5000000000000001;1309.0;1619.0;45.92;40.46;1392.6666666666667;45.48000000000001;0;0;0;0
2005-03-01;1285.0;54.29;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;3;2005;1;0;0;1.0;6.123233995736766e-17;1250.0;1309.0;50.06;45.92;1281.3333333333333;50.09;0;0;0;0
2005-04-01;1173.0;51.09;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;4;2005;2;0;0;0.8660254037844387;-0.4999999999999997;1285.0;1250.0;54.29;50.06;1236.0;51.81333333333333;0;0;0;0
2005-05-01;1039.0;50.73;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;5;2005;2;0;0;0.4999999999999999;-0.8660254037844386;1173.0;1285.0;51.09;54.29;1165.6666666666667;52.03666666666667;0;0;0;0
2005-06-01;1122.0;55.58;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;6;2005;2;0;0;1.2246467991473532e-16;-1.0;1039.0;1173.0;50.73;51.09;1111.3333333333333;52.46666666666667;0;0;0;0
2005-07-01;989.0;59.37;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;7;2005;3;0;0;-0.4999999999999997;-0.8660254037844387;1122.0;1039.0;55.58;50.73;1050.0;55.22666666666667;0;0;0;0
