mae,crisis,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode
94.2697399225774,no_holidays,0.01,5.0,5.0,additive
94.72792473271808,no_holidays,0.01,10.0,5.0,additive
94.78392490340438,no_holidays,0.01,1.0,5.0,additive
94.85882807299869,no_holidays,0.01,1.0,0.1,additive
94.894286272611,no_holidays,0.01,0.1,0.1,multiplicative
95.09309876718497,no_holidays,0.01,1.0,5.0,multiplicative
95.1808447162598,no_holidays,0.01,10.0,1.0,multiplicative
95.75504020798242,no_holidays,0.01,1.0,1.0,multiplicative
96.58287681619932,no_holidays,0.01,0.1,1.0,additive
97.89711091157727,no_holidays,0.01,0.1,0.1,additive
98.79794497236212,no_holidays,0.01,5.0,0.1,additive
99.40800374488204,full,0.01,5.0,0.1,additive
99.45037350634944,pre2020,0.01,10.0,5.0,additive
99.4855557105546,full,0.01,10.0,5.0,additive
99.54530019756965,full,0.01,5.0,5.0,additive
99.55527928847395,pre2020,0.01,5.0,5.0,additive
99.60719546233709,pre2020,0.01,1.0,0.1,additive
99.68472878825999,full,0.01,1.0,0.1,additive
99.83061956372585,full,0.01,1.0,5.0,additive
99.87070479070995,pre2020,0.01,1.0,5.0,additive
100.13948427565333,pre2020,0.01,5.0,0.1,additive
100.65830504645534,pre2020,0.01,0.1,0.1,multiplicative
101.45275438365833,full,0.01,0.1,0.1,multiplicative
101.55851324808138,pre2020,0.01,0.1,0.1,additive
103.25084804138807,pre2020,0.01,0.1,1.0,additive
103.33632353472571,full,0.01,0.1,0.1,additive
104.57331712363673,full,0.01,0.1,1.0,additive
111.01590757383521,no_holidays,0.001,1.0,1.0,additive
111.26438578437467,full,0.001,0.1,0.1,multiplicative
111.27002836789916,no_holidays,0.001,5.0,5.0,additive
111.32884669163606,no_holidays,0.001,10.0,1.0,additive
111.53412986669495,no_holidays,0.001,0.1,1.0,multiplicative
113.16489445781271,no_holidays,0.001,10.0,0.1,multiplicative
113.91358307739786,pre2020,0.001,10.0,1.0,additive
113.91358308035198,full,0.001,10.0,1.0,additive
114.09443486369412,no_holidays,0.001,5.0,1.0,multiplicative
114.10356627370747,pre2020,0.001,1.0,1.0,additive
114.10401936049773,full,0.001,1.0,1.0,additive
114.45792010883876,full,0.01,10.0,1.0,multiplicative
114.48263113483218,pre2020,0.001,0.1,0.1,multiplicative
114.57396150044285,full,0.001,10.0,0.1,multiplicative
114.62303067660203,no_holidays,0.001,5.0,0.1,additive
115.04228493152674,pre2020,0.01,10.0,1.0,multiplicative
115.98315404425209,pre2020,0.001,1.0,0.1,additive
115.98315404436521,full,0.001,1.0,0.1,additive
116.07723023193614,full,0.001,5.0,5.0,additive
116.07723029739687,pre2020,0.001,5.0,5.0,additive
116.29234433413764,full,0.01,1.0,5.0,multiplicative
117.22792378899452,pre2020,0.001,5.0,0.1,additive
117.22792378903698,full,0.001,5.0,0.1,additive
117.26207510049467,no_holidays,0.001,0.1,5.0,multiplicative
118.82819692517239,pre2020,0.001,10.0,0.1,multiplicative
121.1793899564348,pre2020,0.01,1.0,5.0,multiplicative
123.31729217621587,no_holidays,0.001,1.0,0.1,additive
124.2664345749706,pre2020,0.01,1.0,1.0,multiplicative
126.3191237001796,full,0.01,1.0,1.0,multiplicative
126.4665534951472,no_holidays,0.03,10.0,5.0,additive
126.56228113247933,no_holidays,0.03,1.0,0.1,additive
126.76482588564949,no_holidays,0.03,10.0,1.0,additive
127.16825432425463,full,0.001,0.1,5.0,multiplicative
127.16825433436412,pre2020,0.001,0.1,5.0,multiplicative
127.71553479096004,pre2020,0.001,0.1,1.0,multiplicative
127.71553603967227,full,0.001,0.1,1.0,multiplicative
128.35011076299543,no_holidays,0.03,1.0,5.0,additive
128.82101656495433,no_holidays,0.001,1.0,5.0,multiplicative
129.18100543537605,no_holidays,0.03,10.0,0.1,additive
130.6190791528072,no_holidays,0.001,5.0,5.0,multiplicative
131.86734139757667,full,0.001,5.0,5.0,multiplicative
131.86758196002515,pre2020,0.001,5.0,5.0,multiplicative
131.98469749196857,pre2020,0.001,1.0,5.0,multiplicative
131.98469836190978,full,0.001,1.0,5.0,multiplicative
132.08711587696976,pre2020,0.001,5.0,1.0,multiplicative
132.08773062818048,full,0.001,5.0,1.0,multiplicative
